"","A_1_2_rank","A_2_1_rank"
"1",71,402
"2",1052,777
"3",280,1077
"4",1065,133
"5",128,624
"6",2,260
"7",653,871
"8",431,1054
"9",969,857
"10",780,926
"11",1093,38
"12",292,881
"13",1109,447
"14",241,157
"15",361,894
"16",768,1139
"17",888,77
"18",354,1192
"19",768,53
"20",1069,844
"21",1048,183
"22",347,1044
"23",1009,756
"24",455,990
"25",236,776
"26",255,157
"27",35,1110
"28",944,491
"29",1174,542
"30",137,1185
"31",822,373
"32",410,314
"33",1069,1149
"34",941,1071
"35",154,975
"36",671,19
"37",685,466
"38",936,920
"39",479,445
"40",988,922
"41",51,1154
"42",1101,52
"43",779,1055
"44",806,643
"45",1077,266
"46",685,182
"47",1087,617
"48",919,940
"49",1159,22
"50",776,568
"51",73,1079
"52",451,374
"53",317,665
"54",311,19
"55",1174,166
"56",475,810
"57",842,635
"58",1020,33
"59",861,653
"60",981,238
"61",880,34
"62",193,142
"63",844,463
"64",1034,200
"65",1119,25
"66",277,980
"67",360,947
"68",1071,123
"69",724,191
"70",914,398
"71",141,802
"72",559,85
"73",141,661
"74",893,1162
"75",329,796
"76",79,1144
"77",279,438
"78",26,557
"79",1036,1042
"80",437,740
"81",275,950
"82",1190,69
"83",1102,610
"84",956,819
"85",535,1134
"86",685,750
"87",959,674
"88",891,228
"89",1163,1185
"90",249,68
"91",835,448
"92",947,247
"93",195,591
"94",724,1027
"95",546,697
"96",948,473
"97",52,290
"98",770,278
"99",1198,560
"100",975,369
"101",239,1171
"102",780,596
"103",263,725
"104",12,938
"105",29,796
"106",102,621
"107",166,43
"108",1147,56
"109",647,1124
"110",647,245
"111",1120,21
"112",902,332
"113",19,862
"114",475,680
"115",1102,363
"116",264,753
"117",246,1076
"118",178,1018
"119",625,1053
"120",922,798
"121",1195,1032
"122",539,55
"123",830,1134
"124",242,1108
"125",1088,398
"126",1098,1076
"127",329,585
"128",1195,166
"129",147,954
"130",577,124
"131",542,1
"132",461,1013
"133",856,555
"134",608,13
"135",108,143
"136",469,990
"137",367,368
"138",647,972
"139",920,374
"140",343,1125
"141",355,936
"142",204,1167
"143",429,83
"144",969,68
"145",538,507
"146",903,659
"147",862,800
"148",473,233
"149",371,897
"150",1050,223
"151",1169,117
"152",149,978
"153",966,693
"154",231,360
"155",922,1157
"156",1194,27
"157",622,771
"158",618,2
"159",263,180
"160",1177,33
"161",895,674
"162",818,133
"163",91,91
"164",194,836
"165",559,1188
"166",1146,641
"167",725,412
"168",1137,756
"169",21,684
"170",503,314
"171",1164,824
"172",852,531
"173",818,192
"174",1026,1177
"175",303,535
"176",82,258
"177",1193,66
"178",214,563
"179",198,1011
"180",1156,388
"181",82,79
"182",753,626
"183",590,494
"184",523,237
"185",807,101
"186",419,218
"187",1183,107
"188",1151,163
"189",6,869
"190",1101,32
"191",775,163
"192",981,174
"193",99,272
"194",509,1058
"195",106,245
"196",967,1148
"197",866,1158
"198",221,1171
"199",290,1157
"200",566,224
"201",172,177
"202",311,141
"203",892,540
"204",1185,404
"205",1121,401
"206",113,617
"207",803,65
"208",101,1132
"209",326,816
"210",681,696
"211",1032,1025
"212",1063,454
"213",1050,187
"214",8,1136
"215",1035,6
"216",64,401
"217",1183,188
"218",825,642
"219",1113,967
"220",691,262
"221",1030,1085
"222",368,275
"223",381,542
"224",598,946
"225",982,517
"226",934,553
"227",60,411
"228",570,86
"229",784,50
"230",376,592
"231",1092,152
"232",1161,8
"233",302,277
"234",3,637
"235",263,21
"236",1163,100
"237",1018,833
"238",187,1016
"239",713,63
"240",10,708
"241",1,42
"242",141,1194
"243",378,1063
"244",772,949
"245",1119,352
"246",157,1161
"247",761,694
"248",526,303
"249",29,1147
"250",1061,1075
